generacion,pokemon,nombre_anterior,nombre_nuevo,etapa,fitness_antes,fitness_despues,mejora,tipo
1,Kanto_003,Kanto_003,Kanto_003-II,1,0.659932340472513,0.813258590472513,0.15332625,normal
1,Kanto_004,Kanto_004,Kanto_004-II,1,0.5353840016864613,0.6987340016864614,0.1633500000000001,normal
1,Kanto_005,Kanto_005,Kanto_005-II,1,0.5002137594154155,0.6462387594154155,0.14602500000000007,normal
1,Kanto_007,Kanto_007,Kanto_007-II,1,0.5638969570592592,0.7099219570592592,0.14602499999999996,normal
1,Kanto_009,Kanto_009,Kanto_009-II,1,0.5599810468118407,0.7060060468118406,0.14602499999999996,normal
1,Kanto_011,Kanto_011,Kanto_011-II,1,0.5444176815177191,0.6904426815177191,0.14602500000000007,normal
1,Kanto_015,Kanto_015,Kanto_015-II,1,0.5372444395746335,0.6832694395746336,0.14602500000000007,normal
1,Kanto_016,Kanto_016,Kanto_016-II,1,0.570983283021605,0.7170082830216048,0.14602499999999985,normal
1,Kanto_020,Kanto_020,Kanto_020-II,1,0.5928135797153835,0.7431889173456179,0.15037533763023436,normal
1,Kanto_021,Kanto_021,Kanto_021-II,1,0.540070550527195,0.686095550527195,0.14602499999999996,normal
1,Kanto_022,Kanto_022,Kanto_022-II,1,0.5148427123877154,0.6608677123877154,0.14602499999999996,normal
1,Kanto_024,Kanto_024,Kanto_024-II,1,0.5374827305913258,0.7290477305913259,0.1915650000000001,normal
1,Kanto_026,Kanto_026,Kanto_026-II,1,0.5758917601551456,0.7292180101551456,0.15332625,normal
1,Kanto_034,Kanto_034,Kanto_034-II,1,0.5337783409527234,0.6971283409527234,0.16335,normal
1,Kanto_036,Kanto_036,Kanto_036-II,1,0.5048834331572052,0.6509084331572053,0.14602500000000007,normal
1,Kanto_039,Kanto_039,Kanto_039-II,1,0.553494255868949,0.716844255868949,0.16335,normal
1,Kanto_040,Kanto_040,Kanto_040-II,1,0.6592260475565954,0.8507910475565954,0.19156499999999999,normal
1,Kanto_042,Kanto_042,Kanto_042-II,1,0.5680219182567878,0.7213481682567879,0.1533262500000001,normal
1,Kanto_046,Kanto_046,Kanto_046-II,1,0.6028923763073756,0.7944573763073757,0.1915650000000001,normal
1,Kanto_047,Kanto_047,Kanto_047-II,1,0.5491277520851953,0.7024540020851952,0.1533262499999999,normal
1,Kanto_055,Kanto_055,Kanto_055-II,1,0.5553040269306668,0.7013290269306668,0.14602499999999996,normal
1,Kanto_057,Kanto_057,Kanto_057-II,1,0.5414174015566465,0.7329824015566466,0.1915650000000001,normal
1,Kanto_059,Kanto_059,Kanto_059-II,1,0.5158754962107739,0.661900496210774,0.14602500000000007,normal
1,Kanto_060,Kanto_060,Kanto_060-II,1,0.5037301207553523,0.6570563707553523,0.15332625,normal
1,Kanto_061,Kanto_061,Kanto_061-II,1,0.5087031672106043,0.6620294172106042,0.1533262499999999,normal
1,Kanto_063,Kanto_063,Kanto_063-II,1,0.6404352095456366,0.8320002095456367,0.1915650000000001,normal
1,Kanto_064,Kanto_064,Kanto_064-II,1,0.521537384084295,0.7131023840842947,0.19156499999999976,normal
1,Kanto_066,Kanto_066,Kanto_066-II,1,0.5071235063749975,0.6531485063749974,0.14602499999999996,normal
1,Kanto_067,Kanto_067,Kanto_067-II,1,0.5467674734909639,0.7000937234909639,0.15332625,normal
1,Kanto_068,Kanto_068,Kanto_068-II,1,0.5289569476349861,0.6923069476349861,0.16335,normal
