nombre,tipo,hp,attack,defense,speed,origin,evolution_stage,experience,fitness
ROUGE-OMEGA,Fire,1.0,1.0,1.0,1.0,ROUGE,5,2.79745132,1.08
Child_045093-OMEGA,Fire,1.0,1.0,1.0,1.0,Kanto_063,5,2.572423716429295,1.08
Child_038882-V,Fire,1.0,1.0,1.0,1.0,Kanto_079,4,1.6469332206849563,1.08
Child_087141,Fire,1.0,1.0,1.0,1.0,ROUGE,0,0.0,1.08
Child_068005,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_082856,Fire,1.0,1.0,1.0,1.0,ROUGE,0,0.0,1.08
Child_069887,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_009286,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_039500,Fire,1.0,1.0,1.0,1.0,Kanto_079,0,0.0,1.08
Child_012860,Fire,1.0,1.0,1.0,1.0,Kanto_079,0,0.0,1.08
Child_014542,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_016827,Fire,1.0,1.0,1.0,1.0,Kanto_079,0,0.0,1.08
Child_038501-III,Fire,1.0,1.0,1.0,1.0,Kanto_040,2,0.6933230820852874,1.08
Child_052613-II,Fire,1.0,1.0,1.0,1.0,Kanto_015,1,0.3598,1.08
Child_011109,Fire,1.0,1.0,1.0,1.0,Kanto_015,0,0.0,1.08
Child_089147,Fire,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.08
Child_011914,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_004115,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_066675,Fire,1.0,1.0,1.0,1.0,Kanto_015,0,0.0,1.08
Child_067589,Fire,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.08
Child_013833,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_027106,Fire,1.0,1.0,1.0,1.0,ROUGE,0,0.0,1.08
Child_027454-II,Fire,1.0,1.0,1.0,1.0,Kanto_063,1,0.3577912343676263,1.08
Child_014962,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_067337,Fire,1.0,1.0,1.0,1.0,Kanto_063,0,0.0,1.08
Child_037828,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
Child_099664,Fire,1.0,1.0,1.0,1.0,Kanto_040,0,0.0,1.08
